Entidad,Tipo de dato,Sector SCIAN,Mes,2018
Campeche,Dato,31-33 Industrias manufactureras,Enero,"68,044"
Campeche,Dato,31-33 Industrias manufactureras,Febrero,"68,846"
Campeche,Dato,31-33 Industrias manufactureras,Marzo,"143,824"
Campeche,Dato,31-33 Industrias manufactureras,Abril,"73,750"
Campeche,Dato,31-33 Industrias manufactureras,Mayo,"108,053"
Campeche,Dato,31-33 Industrias manufactureras,Junio,"108,233"
Campeche,Dato,31-33 Industrias manufactureras,Julio,"22,407"
Campeche,Dato,31-33 Industrias manufactureras,Agosto,"112,182"
Campeche,Dato,31-33 Industrias manufactureras,Septiembre,"77,064"
Campeche,Dato,31-33 Industrias manufactureras,Octubre,"134,042"
Campeche,Dato,31-33 Industrias manufactureras,Noviembre,"8,112"
Campeche,Dato,31-33 Industrias manufactureras,Diciembre,"71,927"
