fecha,inpp_manu
ene-18,94.62601512
feb-18,94.48056876
mar-18,94.75506478
abr-18,94.6921203
may-18,96.63036801
jun-18,98.34612635
jul-18,96.98111303
ago-18,96.73590269
sep-18,97.32993374
oct-18,97.5682597
nov-18,99.40782475
dic-18,99.6908041
ene-19,98.73952
feb-19,98.89866253
mar-19,99.1855202
abr-19,99.17377176
may-19,99.40383342
jun-19,99.98469807
jul-19,100
ago-19,100.9048051
sep-19,101.2410529
oct-19,100.971794
nov-19,100.8502262
dic-19,100.9028385
ene-20,100.5346496
feb-20,100.6175347
mar-20,104.8248963
abr-20,108.7165193
may-20,108.1159624
jun-20,106.623215
jul-20,108.1009866
ago-20,108.3439483
sep-20,107.5226827
oct-20,107.2691793
nov-20,106.4437977
dic-20,105.9660418
ene-21,106.5732402
feb-21,107.5958742
mar-21,109.0822958
abr-21,108.8228213
may-21,109.4005558
jun-21,110.1572905
jul-21,110.50096
ago-21,110.9928205
sep-21,111.4816711
oct-21,112.6523035
nov-21,113.6135461
dic-21,114.8068491
ene-22,114.9687505
feb-22,115.9351839
mar-22,117.2100992
abr-22,117.1998196
may-22,118.0320669
jun-22,118.7664833
jul-22,120.0627162
ago-22,120.1983623
sep-22,120.1619171
oct-22,120.4650422
nov-22,119.9915104
dic-22,120.4857675
ene-23,120.8279576
feb-23,120.297925
mar-23,120.4593456
abr-23,120.4115054
may-23,119.9361674
jun-23,119.3967958
jul-23,119.0786169
ago-23,119.4150105
sep-23,119.9340849
oct-23,121.4206303
nov-23,120.8451473
dic-23,120.4400867
ene-24,120.2706474
